id,zone_name,latitude,longitude,code,status,meta,created_at,updated_at
49,Bushey and Bushey heath,51.6460776,-0.3493557,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.37576,51.66733],[-0.376,51.66086],[-0.37592623809813874,51.6516709093001],[-0.37165,51.64755],[-0.37100347885131946,51.6460648084584],[-0.36628,51.64426],[-0.3616441693115191,51.644397661623266],[-0.35938,51.64232],[-0.3579977976226867,51.63309050596887],[-0.35691,51.6282],[-0.35467,51.62551],[-0.3436008465576168,51.62942443270556],[-0.34186969444273796,51.62932013169708],[-0.3381590720748884,51.630724273723025],[-0.3354746084594695,51.63151129370086],[-0.3321031507873484,51.63249937783601],[-0.32959,51.63418],[-0.32101,51.6366],[-0.3175831640624982,51.64450946457481],[-0.30712,51.66186],[-0.32208,51.66809],[-0.3416765052795312,51.66992448979333],[-0.35658813491822094,51.67305394221019],[-0.37046,51.67291],[-0.37576,51.66733]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
51,Uxbridge Hillingdon,51.5557050,-0.4734850,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.5078,51.55512],[-0.53255,51.54964],[-0.52201,51.54209],[-0.49095,51.52384],[-0.45173,51.52532],[-0.41179,51.53749],[-0.42172,51.5562],[-0.42602,51.56669],[-0.43806,51.57188],[-0.44966,51.57737],[-0.46022,51.58222],[-0.49407,51.5702],[-0.51301,51.56392],[-0.5092,51.55789],[-0.5078,51.55512]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
53,Reading,51.4465604,-0.9629908,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-1.00963,51.44346],[-1.00775,51.43644],[-0.99729,51.4307],[-0.99265,51.42646],[-0.98494,51.4233],[-0.98204,51.42158],[-0.98076,51.41986],[-0.97536,51.41601],[-0.97194,51.41449],[-0.96216,51.41684],[-0.94415,51.42443],[-0.93082,51.43282],[-0.91783,51.43939],[-0.91858,51.44566],[-0.92002,51.45716],[-0.92051,51.46424],[-0.92324,51.47231],[-0.92743,51.47387],[-0.92957,51.47481],[-0.9379,51.47634],[-0.9499,51.47624],[-0.96163,51.47496],[-0.97703,51.47049],[-0.99642,51.46521],[-1.00492,51.46064],[-1.01329,51.45286],[-1.00963,51.44346]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
54,slough,51.5191167,-0.5935789,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.63844,51.52199],[-0.64497,51.50698],[-0.5863,51.49594],[-0.55578,51.51149],[-0.55455,51.51928],[-0.55435,51.52643],[-0.5537,51.53496],[-0.62286,51.52964],[-0.63126,51.52534],[-0.63844,51.52199]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
55,Letchworth Garden City,51.9735059,-0.2178595,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.24318,51.99328],[-0.24895,51.98791],[-0.25073,51.9833],[-0.25245,51.97866],[-0.24389,51.96495],[-0.24128,51.96193],[-0.23336,51.95737],[-0.22796,51.95632],[-0.22152,51.95537],[-0.21003,51.95766],[-0.2053,51.96133],[-0.20302,51.96412],[-0.20098,51.96551],[-0.19881,51.9673],[-0.19722,51.96935],[-0.19597,51.97232],[-0.19549,51.97614],[-0.19658,51.98056],[-0.1972,51.98377],[-0.19803,51.98963],[-0.20523,51.99158],[-0.22573,51.99877],[-0.24318,51.99328]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
57,Stevenage,51.9055406,-0.1893951,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.22291,51.92254],[-0.2268,51.91742],[-0.22705,51.91262],[-0.22739,51.908],[-0.22224,51.90275],[-0.21023,51.89268],[-0.20616,51.88778],[-0.20086,51.88699],[-0.19188,51.88778],[-0.18772,51.88845],[-0.18545,51.88866],[-0.18155,51.88894],[-0.17789,51.88981],[-0.17555,51.89025],[-0.17327,51.89085],[-0.17035,51.89139],[-0.16925,51.89161],[-0.16825,51.8919],[-0.16738,51.89231],[-0.16558,51.89269],[-0.15748,51.89547],[-0.15161,51.8969],[-0.149,51.90103],[-0.15371,51.91038],[-0.15635,51.91593],[-0.16157,51.91746],[-0.17689,51.92115],[-0.18693,51.92326],[-0.19235,51.92481],[-0.20426,51.92728],[-0.20914,51.92858],[-0.21415,51.93027],[-0.21796,51.93106],[-0.21919,51.92867],[-0.22048,51.92625],[-0.22291,51.92254]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
58,Biggleswade,52.0845704,-0.2028850,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.29698,52.06377],[-0.28069,52.06454],[-0.27608,52.06515],[-0.27235,52.06537],[-0.26979,52.06563],[-0.267,52.06576],[-0.26501,52.0659],[-0.25876,52.06651],[-0.2562,52.06668],[-0.25487,52.06681],[-0.25024,52.06714],[-0.24596,52.06726],[-0.24264,52.0671],[-0.23695,52.06693],[-0.23425,52.06693],[-0.2316,52.06701],[-0.22893,52.06709],[-0.2251,52.06714],[-0.21281,52.06866],[-0.17501,52.07118],[-0.15839,52.07251],[-0.12168,52.07585],[-0.11098,52.0765],[-0.09612,52.07719],[-0.0865,52.07781],[-0.08282,52.07818],[-0.07473,52.07907],[-0.07481,52.08149],[-0.07802,52.09507],[-0.08177,52.10655],[-0.08371,52.11083],[-0.08702,52.11838],[-0.08867,52.12268],[-0.09344,52.11474],[-0.11348,52.1095],[-0.14624,52.11012],[-0.16488,52.10838],[-0.17975,52.10736],[-0.19987,52.10479],[-0.21535,52.1034],[-0.23159,52.10281],[-0.24793,52.10522],[-0.26515,52.1044],[-0.28293,52.10449],[-0.29378,52.10443],[-0.30244,52.10467],[-0.30262,52.09765],[-0.30073,52.0894],[-0.29851,52.07966],[-0.29912,52.07283],[-0.29698,52.06377]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
59,Hertford,51.7873007,-0.1074390,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.15021,51.79709],[-0.15089,51.79387],[-0.15225,51.79],[-0.15482,51.78289],[-0.15627,51.77696],[-0.15669,51.77357],[-0.15753,51.7685],[-0.16161,51.75581],[-0.15494,51.74556],[-0.14917,51.74227],[-0.13422,51.73898],[-0.11309,51.73909],[-0.07774,51.74237],[-0.06745,51.74561],[-0.05853,51.75352],[-0.05705,51.75434],[-0.05492,51.75762],[-0.05186,51.76126],[-0.0504,51.77475],[-0.04855,51.78728],[-0.03547958190917466,51.79949720763117],[-0.04403849731444476,51.80109693002267],[-0.05816,51.81405],[-0.06116,51.81907],[-0.06045,51.82809],[-0.06345,51.84621],[-0.1072,51.84528],[-0.133,51.8457],[-0.13752,51.84102],[-0.14655,51.82826],[-0.14564,51.81881],[-0.14644,51.81019],[-0.14821,51.80231],[-0.15021,51.79709]]]}}",2026-02-11 13:23:15,2026-02-11 13:23:15
61,Cambridge,52.1916110,0.1302349,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[0.04683,52.19561],[0.04863,52.19346],[0.07124,52.18662],[0.07317,52.1836],[0.07562,52.18047],[0.07422,52.17858],[0.09393,52.16513],[0.11775,52.16242],[0.1325,52.16212],[0.15138,52.1612],[0.16919,52.16293],[0.17415,52.16622],[0.17908,52.16793],[0.18298,52.1707],[0.18735,52.17519],[0.19188,52.18053],[0.1947,52.18412],[0.19543,52.18657],[0.19306,52.1896],[0.19149,52.19172],[0.1918,52.19246],[0.19071,52.19612],[0.16633,52.19687],[0.16454,52.19821],[0.16244,52.19938],[0.15988,52.20118],[0.15543,52.20343],[0.15303,52.20636],[0.15099,52.2086],[0.14638,52.21823],[0.1356,52.21766],[0.11879,52.21881],[0.09839,52.22047],[0.082,52.21703],[0.06834,52.21392],[0.05525,52.21181],[0.04306,52.20911],[0.04568,52.20082],[0.04594,52.19764],[0.04683,52.19561]]]}}",2026-02-11 13:23:15,2026-02-11 13:23:15
62,Bedford,52.1207621,-0.4515764,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.56322,52.11483],[-0.55306,52.10597],[-0.54759,52.10313],[-0.54308,52.10053],[-0.54074,52.09617],[-0.53958,52.09425],[-0.53642,52.08706],[-0.52144,52.08453],[-0.51677,52.08801],[-0.51234,52.09353],[-0.50489,52.09631],[-0.50212,52.09739],[-0.49844,52.0992],[-0.49221,52.10045],[-0.48712,52.10086],[-0.48117,52.10196],[-0.4763,52.10292],[-0.47269,52.10329],[-0.46577,52.10436],[-0.46155,52.10468],[-0.45829,52.10462],[-0.45035,52.10325],[-0.43775,52.10555],[-0.42773,52.10807],[-0.4062,52.11266],[-0.39998,52.11439],[-0.39357,52.11685],[-0.39005,52.11825],[-0.38617,52.11926],[-0.38424,52.11986],[-0.38205,52.12063],[-0.38065,52.12135],[-0.3786,52.12287],[-0.37675,52.12459],[-0.37557,52.1261],[-0.37465,52.12724],[-0.37248,52.12831],[-0.37055,52.12965],[-0.37069,52.13113],[-0.37078,52.13414],[-0.37114,52.13716],[-0.37661,52.14132],[-0.38755,52.14562],[-0.38907,52.14794],[-0.38965,52.14857],[-0.39299,52.14952],[-0.40435,52.15195],[-0.41058,52.15055],[-0.41954,52.15033],[-0.42972,52.15049],[-0.44334,52.15092],[-0.45267,52.14946],[-0.46534,52.14783],[-0.47432,52.14522],[-0.48703,52.14196],[-0.49483,52.14046],[-0.50709,52.13749],[-0.51609,52.13477],[-0.53121,52.1309],[-0.54509,52.12555],[-0.55435,52.12028],[-0.56322,52.11483]]]}}",2026-02-11 13:23:15,2026-02-11 13:23:15
